mdb_source_id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,is_official,name,note,feed_contact_email,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features,redirect.id,redirect.comment
570,gtfs,,US,California,Los Angeles,Lynwood Trolley / Breeze,,,,csinteractive@metro.net,,https://raw.githubusercontent.com/LACMTA/los-angeles-regional-gtfs/main/lynwood-ca-us/lynwood-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-lynwood-trolley-breeze-gtfs-570.zip?alt=media,,33.9076946648605,33.9452214237674,-118.239279931577,-118.180320930699,2022-12-19T18:39:40+00:00,active,fares-v2,,
571,gtfs,,US,Indiana,Indianapolis,Interurban Trolley,,,,,,http://macog.com/google/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-indiana-interurban-trolley-gtfs-571.zip?alt=media,,41.554451,41.739892,-86.180541,-85.789122,2022-03-16T20:09:46+00:00,,,,
572,gtfs,,US,California,Madera,Madera County Transit,True,,,,,http://data.trilliumtransit.com/gtfs/maderactc-ca-us/maderactc-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-madera-county-transit-gtfs-572.zip?alt=media,,36.8516460649093,37.337971,-120.275078,-119.497243593285,2022-03-16T20:09:48+00:00,,,,
573,gtfs,,US,New York,,Madison County Transit,,,,,,https://s3.amazonaws.com/datatools-511ny/public/Madison_Transit_Services.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-new-york-madison-county-transit-gtfs-573.zip?alt=media,https://data.ny.gov/download/77gx-ii52/application/pdf,42.682384,43.156107,-75.969992,-75.457106,2022-03-16T20:09:49+00:00,,,,
574,gtfs,,US,Washington,,Makah Public Transit,,,,marcy@mjcaction.com,,http://mjcaction.com/MJC_GTFS_Public/makah_google_transit.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-makah-public-transit-gtfs-574.zip?alt=media,,48.345925,48.370977,-124.672653,-124.587256,2022-03-16T20:09:49+00:00,deprecated,fares-v1,2196,
575,gtfs,,US,Iowa,Waterloo,Metropolitan Transit Authority of Black Hawk County,,,,,,http://mettransit.org/sites/default/files/MET_Transit_GTFS.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-iowa-metropolitan-transit-authority-of-black-hawk-county-gtfs-575.zip?alt=media,,42.429376,42.539077,-92.473383,-92.298033,2022-03-16T20:09:50+00:00,deprecated,,2414,
576,gtfs,,US,Connecticut,,Middletown Area Transit,,,,,,http://data.trilliumtransit.com/gtfs/middletown-ct-us/middletown-ct-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-connecticut-middletown-area-transit-gtfs-576.zip?alt=media,,41.5034374574747,41.6087292654757,-72.809799,-72.4877517383079,2022-03-16T20:09:52+00:00,deprecated,,551,
577,gtfs,,US,California,Montebello,Montebello Bus Lines,,,,support+montebello-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/montebello-ca-us/montebello-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-montebello-bus-lines-gtfs-577.zip?alt=media,,33.891737,34.1110781039375,-118.266356,-117.994749,2022-03-16T20:09:55+00:00,deprecated,fares-v1,2201,
578,gtfs,,US,California,Moorpark,Moorpark City Transit,True,,,,,http://data.trilliumtransit.com/gtfs/moorparkcitytransit-ca-us/moorparkcitytransit-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-moorpark-city-transit-gtfs-578.zip?alt=media,,34.26332,34.3020749386964,-118.90097,-118.835209,2022-03-16T20:09:56+00:00,,,,
579,gtfs,,US,California,Palm Springs,Morongo Basin Transit Authority,True,,,,,http://data.trilliumtransit.com/gtfs/morongobasin-ca-us/morongobasin-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-morongo-basin-transit-authority-gtfs-579.zip?alt=media,,33.823284,34.266281881282,-116.583611,-116.036545,2022-03-16T20:09:58+00:00,,,,
580,gtfs,,US,Washington,,Mount Adams Transportation Service,True,,,,,http://data.trilliumtransit.com/gtfs/mountadams-wa-us/mountadams-wa-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-mount-adams-transportation-service-gtfs-580.zip?alt=media,,45.533467,46.593247,-122.650095,-119.102094,2022-03-16T20:09:59+00:00,,fares-v1,,
581,gtfs,,US,Colorado,Crested Butte,Mountain Express (MtnExp),,,,,,http://mjcaction.com/MJC_GTFS_Public/cb_mtnexpress_google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-colorado-mountain-express-mtnexp-gtfs-581.zip?alt=media,,38.866968,38.957698,-106.988743,-106.959567,2022-03-16T20:10:00+00:00,,,,
582,gtfs,,US,New Mexico,,North Central Regional Transit District (NCRTD),True,,,,,https://www.ncrtd.org/wp-content/uploads/2021/05/gtfs-5.12.21.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-new-mexico-north-central-regional-transit-district-ncrtd-gtfs-582.zip?alt=media,,35.000311,36.978963,-108.18002,-105.209957,2022-03-16T20:10:02+00:00,inactive,fares-v1,,
583,gtfs,,US,California,Needles,Needles Area Transit,True,,,,,http://data.trilliumtransit.com/gtfs/needles-ca-us/needles-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-needles-area-transit-gtfs-583.zip?alt=media,,34.821873,34.851116701061,-114.62423844998,-114.595169,2022-03-16T20:10:03+00:00,,,,
584,gtfs,,US,New York,Poughkeepsie,Newburgh Beacon Shuttle (Leprechaun Lines),,,,,,https://s3.amazonaws.com/datatools-511ny/public/Newburgh_Beacon_Shuttle.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-new-york-newburgh-beacon-shuttle-leperchaun-lines-gtfs-584.zip?alt=media,https://data.ny.gov/download/77gx-ii52/application/pdf,41.498394,41.517948,-74.100904,-73.984502,2022-03-16T20:10:04+00:00,,,,
585,gtfs,,US,Indiana,South Bend,South Shore Line,,,,,,http://www.mysouthshoreline.com/google/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-indiana-south-shore-line-gtfs-585.zip?alt=media,,41.597858,41.8841667,-87.6230556,-86.310951,2022-03-16T20:10:05+00:00,,,,
586,gtfs,,US,New York,Olean,Olean Area Transit System,,,,,,https://s3.amazonaws.com/datatools-511ny/public/Olean_Area_Transit_System.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-new-york-olean-area-transit-system-gtfs-586.zip?alt=media,,42.066323,42.220286,-78.767734,-78.276716,2022-03-16T20:10:06+00:00,,,,
587,gtfs,,US,Nebraska,Omaha,Omaha Metro,,,,,,https://s3.amazonaws.com/omaha-metro/TrapezeExport/google_transit.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-nebraska-omaha-metro-gtfs-587.zip?alt=media,,41.1405456595003,41.345776,-96.196039,-95.89996,2022-03-16T20:10:08+00:00,deprecated,,2261,
588,gtfs,,US,New York,Utica,Herkimer-Oneida Counties Transportation Study (HOCTS),,,,,,https://s3.amazonaws.com/datatools-511ny/public/Oneida_County_Rural_Transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-new-york-herkimer-oneida-counties-transportation-study-hocts-gtfs-588.zip?alt=media,,42.307476,44.163689,-77.884659,-74.752197,2022-03-16T20:10:09+00:00,inactive,,,
589,gtfs,,US,New York,Cooperstown,Otsego Express Public Transportation,,,,,,https://s3.amazonaws.com/datatools-511ny/public/Otsego_Express_Public_Transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-new-york-otsego-express-public-transportation-gtfs-589.zip?alt=media,,42.296663,42.883622,-75.414187,-74.671786,2022-03-16T20:10:10+00:00,,,,
590,gtfs,,US,Oregon,Pendleton,Let'er Bus,True,,,,,https://oregon-gtfs.trilliumtransit.com/gtfs_data/pendleton-or-us/pendleton-or-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-leter-bus-gtfs-590.zip?alt=media,,45.6451995398724,45.6884126437407,-118.840975383736,-118.749787194685,2022-03-16T20:10:11+00:00,,,,
591,gtfs,,US,Virginia,Petersburg,Petersburg Area Transit,True,,,,,http://data.trilliumtransit.com/gtfs/petersburg-va-us/petersburg-va-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-virginia-petersburg-area-transit-gtfs-591.zip?alt=media,,37.1803868625173,37.5404865378737,-77.467684930818,-77.2861622676174,2022-03-16T20:10:13+00:00,,,,
592,gtfs,,US,Massachusetts,,Bloom Tours,,,,,,https://www.mass.gov/doc/bloom-tours-zip-file-6242015/download,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-massachusetts-bloom-tours-gtfs-592.zip?alt=media,,41.900542,42.350794,-71.100949,-71.048179,2022-03-16T20:10:15+00:00,deprecated,,2192,
593,gtfs,,US,,,Flixbus,,,,,,http://data.ndovloket.nl/flixbus/flixbus-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-unknown-flixbus-gtfs-593.zip?alt=media,,25.7782,42.343998,-118.449001,-71.061576,2022-03-16T20:10:17+00:00,inactive,,,
594,gtfs,,US,Colorado,Town of Mountain Village,Town of Mountain Village,True,,,,,http://data.trilliumtransit.com/gtfs/mountainvillage-co-us/mountainvillage-co-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-colorado-town-of-mountain-village-gtfs-594.zip?alt=media,,37.93133,37.947176,-107.881954,-107.807134,2022-03-16T20:10:18+00:00,,fares-v1|flex-v1,,
595,gtfs,,US,California,San Francisco,"Alcatraz Cruises - Hornblower, Angel Island Tiburon Ferry, Blue & Gold Fleet",True,,,,,http://data.trilliumtransit.com/gtfs/bayareaferries-ca-us/bayareaferries-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-alcatraz-cruises-hornblower-gtfs-595.zip?alt=media,,37.795497,37.872939,-122.478275,-122.393365,2022-03-16T20:10:19+00:00,inactive,fares-v1,,
596,gtfs,,US,California,San Juan Capistrano,San Juan Capistrano Free Weekend Trolley,,,,,,http://data.trilliumtransit.com/gtfs/sanjuancapistrano-ca-us/sanjuancapistrano-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-juan-capistrano-free-weekend-trolley-gtfs-596.zip?alt=media,,33.473604,33.507589,-117.685329157228,-117.662424646365,2022-03-16T20:10:20+00:00,deprecated,fares-v1,2235,
597,gtfs,,US,Connecticut,,Connecticut Transit,,Hartford Line - Rail,,,,http://www.hartfordline.com/files/gtfs/gtfs.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-connecticut-connecticut-transit-gtfs-597.zip?alt=media,,41.29732995,42.1063349,-72.92619467,-72.5933969,2022-03-16T20:10:21+00:00,deprecated,,2840,
598,gtfs,,FR,Auvergne-Rhône-Alpes,Rumilly,J'ybus,,,,,,https://www.data.gouv.fr/fr/datasets/r/f8b861f3-6fbd-4eed-a82e-9fed96c9dd09,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-jybus-gtfs-598.zip?alt=media,https://transport.data.gouv.fr/datasets/offre-de-transports-jybus-a-rumilly,45.840406,45.921741,5.932356,6.120262,2022-04-26T02:19:20+00:00,,,,
599,gtfs,,US,California,Vacaville,City Coach,,,,support+test+vacavillecitycoach-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/vacavillecitycoach-ca-us/vacavillecitycoach-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-city-coach-gtfs-599.zip?alt=media,,38.32518498,38.3978029,-122.00789,-121.93363,2022-03-16T20:10:28+00:00,,,,
600,gtfs,,FR,Auvergne-Rhône-Alpes,Aix les Bains,Ondéa - COMPAGNIE DE TRANSPORT DU LAC DU BOURGET-CTLB,,,,,,https://ratpdev-mosaic-prod-bucket-raw.s3-eu-west-1.amazonaws.com/33/exports/1/gtfs.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-ondea-compagnie-de-transport-du-lac-du-bourget-ctlb-gtfs-600.zip?alt=media,https://transport.data.gouv.fr/datasets/ctlb-donnees-theoriques-et-rt-aix-les-bains-lac-du-bourget/,45.592876,45.786327,5.82058,6.012444,2022-04-26T02:03:43+00:00,,,,
601,gtfs,,US,Massachusetts,Boston,Logan Express,True,,,support+loganexpress-ma-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/loganexpress-ma-us/loganexpress-ma-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-massachusetts-logan-express-gtfs-601.zip?alt=media,,42.21736,42.51759,-71.39341,-71.017076,2022-03-16T20:10:33+00:00,inactive,fares-v1,,
602,gtfs,,US,Tennessee,Memphis,Memphis Area Transit Authority,,,,,,https://www.matatransit.com/assets/2/6/Memphis_TN_transitfeed2.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-tennessee-memphis-area-transit-authoritiy-gtfs-602.zip?alt=media,,35.001607,35.269264,-90.127347,-89.754447,2022-03-16T20:10:36+00:00,deprecated,,2352,
603,gtfs,,US,Colorado,Telluride,Town of Telluride,,,,,,http://data.trilliumtransit.com/gtfs/telluride-co-us/telluride-co-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-colorado-town-of-telluride-gtfs-603.zip?alt=media,,37.93503,37.94021,-107.82207,-107.80002,2022-03-16T20:10:38+00:00,deprecated,,2195,
604,gtfs,,US,Washington,Longview,Wahkiakum Ferry,,,,,,http://oregon-gtfs.com/gtfs_data/wahkiakumferry-or-us/wahkiakumferry-or-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-wahkiakum-ferry-gtfs-604.zip?alt=media,,46.1371023921546,46.1532992569825,-123.378724476539,-123.377110622681,2022-03-16T20:10:38+00:00,deprecated,fares-v1,2193,
605,gtfs,,US,Oregon,Portland,Canby Ferry,,,,support+test+canbyferry-or-us@trilliumtransit.com,,https://oregon-gtfs.trilliumtransit.com/gtfs_data/canbyferry-or-us/canbyferry-or-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-canby-ferry-gtfs-605.zip?alt=media,,45.2989871385735,45.3010657654158,-122.692828552403,-122.692637681176,2022-03-16T20:10:39+00:00,,,,
606,gtfs,,US,California,Los Angeles,Get Around Town Express,,,,csinteractive@metro.net,,https://raw.githubusercontent.com/LACMTA/los-angeles-regional-gtfs/main/getaroundtownexpress-ca-us/getaroundtownexpress-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-get-around-town-express-gtfs-606.zip?alt=media,,33.9159852759617,33.9592318964122,-118.225215727351,-118.163997470108,2022-12-19T18:37:17+00:00,active,fares-v2,,
607,gtfs,,US,Colorado,Boulder,Home James,,,,support+test+homejames-co-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/homejames-co-us/homejames-co-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-colorado-home-james-gtfs-607.zip?alt=media,,39.8475614987303,40.2570157561979,-105.939539015688,-104.672864277409,2022-03-16T20:10:42+00:00,,,,
608,gtfs,,US,Virginia,Winchester,WinTran,,,,support+test+wintran-va-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/wintran-va-us/wintran-va-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-virginia-wintran-gtfs-608.zip?alt=media,,39.13712,39.2084813977251,-78.19513,-78.143465090073,2022-03-16T20:10:44+00:00,,,,
609,gtfs,,US,California,,Glendora Transportation Division,,,,csinteractive@metro.net,,https://raw.githubusercontent.com/LACMTA/los-angeles-regional-gtfs/main/glendora-ca-us/glendora-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-glendora-transportation-division-gtfs-609.zip?alt=media,,34.0833929992766,34.1468809776457,-117.89009,-117.838194,2022-12-19T18:38:06+00:00,deprecated,fares-v2,3097,
610,gtfs,,US,Florida,,GoWal,,,,support+test+gowal-fl-us@trilliumtransit.com,,https://data.trilliumtransit.com/gtfs/gowal-fl-us/gowal-fl-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-florida-gowal-gtfs-610.zip?alt=media,,30.3395255098718,30.722111,-86.1807470036327,-86.1105577,2022-03-16T20:10:47+00:00,deprecated,,,
611,gtfs,,US,Virginia,Bluefield,Graham Transit,,,,support+test+grahamtransit-va-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/grahamtransit-va-us/grahamtransit-va-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-virginia-graham-transit-gtfs-611.zip?alt=media,,37.2322934348219,37.3073947649655,-81.3460041737645,-81.2347962623343,2022-03-16T20:10:49+00:00,,,,
612,gtfs,,US,Colorado,Greeley,Greeley-Evans Transit (GET),,,,,,https://nextcloud.greeleygov.com/index.php/s/yf5gysdomcLyCib/download,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-colorado-greeley-evans-transit-get-gtfs-612.zip?alt=media,,,,,,2022-03-16T20:10:50+00:00,deprecated,,2076,
613,gtfs,,US,New York,,Greene County Transit,,,,,,https://s3.amazonaws.com/datatools-511ny/public/Greene_County_Transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-new-york-greene-county-transit-gtfs-613.zip?alt=media,https://data.ny.gov/download/77gx-ii52/application/pdf,42.11024,42.453165,-74.435418,-73.778373,2022-03-16T20:10:51+00:00,,,,
614,gtfs,,US,Colorado,,Groome Transportation (Greenride),True,,,support+test+greenride-co-us@trilliumtransit.com,,https://data.trilliumtransit.com/gtfs/greenride-co-us/greenride-co-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-unknown-groome-transportation-gtfs-614.zip?alt=media,,39.849751,41.319546,-105.671434,-104.672284,2022-03-16T20:10:54+00:00,,,,
615,gtfs,,US,North Carolina,Greensboro,Greensboro Transit Authority (GTA),,,,info@mecatran.com,,https://app.mecatran.com/urb/ws/feed/c2l0ZT1ncmVlbnNib3JvO2NsaWVudD1zZWxmO2V4cGlyZT07dHlwZT1ndGZzO2tleT00ZDQ3MDYyMjNiNjI3ZjFmMTU1YzFiNGIxNTY0Mzg0ZDFjNzYyOTQy,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-north-carolina-greensboro-transit-authority-gta-gtfs-615.zip?alt=media,,35.997281,36.147221,-79.918696,-79.725097,2022-03-16T20:10:58+00:00,,,,
616,gtfs,,US,California,Gardena,GTrans,,,,support+test+gtrans-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/gtrans-ca-us/gtrans-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-gtrans-gtfs-616.zip?alt=media,,33.789348268787,34.051940409636,-118.37830550252,-118.223107,2022-03-16T20:11:00+00:00,deprecated,,2270,
617,gtfs,,US,California,,Guadalupe Flyer,,,,support+test+guadalupeflyer-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/guadalupeflyer-ca-us/guadalupeflyer-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-guadalupe-flyer-gtfs-617.zip?alt=media,,34.946112429823,34.9711071914409,-120.589191040142,-120.43050668825,2022-03-16T20:11:01+00:00,,fares-v2|fares-v1,,
618,gtfs,,US,Maryland,Baltimore,Harbor Connector,,,,support+test+harborconnector-md-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/harborconnector-md-us/harborconnector-md-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-maryland-harbor-connector-gtfs-618.zip?alt=media,,39.2759223488919,39.2839428588262,-76.6070138686386,-76.5740556363514,2022-03-16T20:11:02+00:00,,,,
619,gtfs,,US,California,Turlock,Turlock Transit,,,,support+test+turlock-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/turlock-ca-us/turlock-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-turlock-transit-gtfs-619.zip?alt=media,,37.47806,37.52925,-120.88435,-120.83076,2022-03-16T20:11:04+00:00,,,,
620,gtfs,,US,Indiana,Gary,Valparaiso Transit,,,,support+test+valpotransit-chi-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/valpotransit-chi-us/valpotransit-chi-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-indiana-valparaiso-transit-gtfs-620.zip?alt=media,,41.4552612,41.886761,-87.635139,-87.0139127,2022-03-16T20:11:05+00:00,,,,
621,gtfs,,US,Virginia,,Virginia Regional Transit,,,,support+test+vatransit-va-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/vatransit-va-us/vatransit-va-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-virginia-virginia-regional-transit-gtfs-621.zip?alt=media,,38.0289070749037,39.143534,-78.4998357379939,-77.561757,2022-03-16T20:11:07+00:00,,,,
622,gtfs,,US,California,Berkeley,West Berkeley Shuttle,,,,support+test+westberkeleyshuttle-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/westberkeleyshuttle-ca-us/westberkeleyshuttle-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-west-berkeley-shuttle-gtfs-622.zip?alt=media,,37.8513586852571,37.859964149085,-122.295178114587,-122.270110040259,2022-03-16T20:11:09+00:00,deprecated,fares-v1,2238,
623,gtfs,,US,California,,Go West Shuttle,True,,,support+test+westcovina-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/westcovina-ca-us/westcovina-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-go-west-shuttle-gtfs-623.zip?alt=media,,34.0022032814329,34.0868832783108,-117.954219468385,-117.872601420076,2022-03-16T20:11:10+00:00,inactive,fares-v1,,
624,gtfs,,US,Rhode Island,,Rhode Island Public Transit Authority,True,,,,,https://ripta.com/RIPTA-GTFS.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-rhode-island-rhode-island-public-transit-authority-gtfs-624.zip?alt=media,,41.372687,42.016993,-71.829808,-71.154292,2022-07-26T19:09:49+00:00,,,,
625,gtfs,,US,Texas,,Connect Transit,True,,,support+test+gulfcoastcenter-tx-us@trilliumtransit.com,,https://data.trilliumtransit.com/gtfs/gulfcoastcenter-tx-us/gulfcoastcenter-tx-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-texas-gulf-coast-center-gtfs-625.zip?alt=media,,28.9438134,29.5135344528876,-95.4648053214995,-94.89328642,2022-03-22T17:15:42+00:00,,,,
626,gtfs,,US,Florida,,Florida Department of Transportation (SunRail),True,,,,,https://corporate.sunrail.com/gtfs/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-florida-sunrail-gtfs-626.zip?alt=media,https://corporate.sunrail.com/about-sunrail/gtfs-data-download/,28.258907,28.855694,-81.484367,-81.298115,2022-07-28T02:31:19+00:00,,fares-v1,,
627,gtfs,,FR,Auvergne-Rhône-Alpes,Saint-Étienne,Saint-Etienne Métropole,,Réseau de transport stéphanois (STAS),,,,https://www.data.gouv.fr/fr/datasets/r/8b3e71e2-1155-4fb0-bf4a-cdddbb496e29,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-saint-etienne-metropole-gtfs-627.zip?alt=media,https://transport.data.gouv.fr/datasets/donnees-horaires-theoriques-gtfs-du-reseau-de-transport-de-la-metropole-de-saint-etienne-stas/,45.3676394217,45.6362101783,4.0634625087,4.6427560851,2022-04-26T02:13:30+00:00,,,,
628,gtfs,,US,California,,Union City Transit,True,,,support+test+unioncity-ca-us@trilliumtransit.com,,https://data.trilliumtransit.com/gtfs/unioncity-ca-us/unioncity-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-union-city-transit-gtfs-628.zip?alt=media,,37.567764,37.612185,-122.082768,-122.002866,2022-03-16T20:11:22+00:00,,,,
629,gtfs,,US,Vermont,Burlington,Chittenden County Transportation Authority (CCTA),,,,support+test+ccta-vt-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/ccta-vt-us/ccta-vt-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-vermont-chittenden-county-transportation-authority-ccta-gtfs-629.zip?alt=media,,44.010319,44.99747,-73.29892,-72.02065,2022-03-16T20:11:27+00:00,,fares-v1|flex-v1,,
630,gtfs,,US,Florida,Lecanto,Citrus County Transit,,,,,,https://ftis.org/PostFileDownload.aspx?id=152A0,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-florida-citrus-county-transit-gtfs-630.zip?alt=media,,,,,,2022-03-16T20:11:28+00:00,deprecated,fares-v1,2257,
631,gtfs,,US,Vermont,Hartford,Advance Transit,,,,support+test+advancetransit-vt-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/advancetransit-vt-us/advancetransit-vt-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-vermont-advance-transit-gtfs-631.zip?alt=media,,43.625202179,43.729133606,-72.3435561363965,-72.0132064819,2022-03-16T20:11:31+00:00,,fares-v1|flex-v1,,
632,gtfs,,US,Oregon,Ontario,Eastern Point,True,,,support+test+easternpoint-or-us@trilliumtransit.com,,https://oregon-gtfs.trilliumtransit.com/gtfs_data/easternpoint-or-us/easternpoint-or-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-eastern-point-gtfs-632.zip?alt=media,,43.54207602,44.058021435071,-121.301143956693,-116.951137,2022-03-16T20:11:32+00:00,inactive,fares-v1,,
633,gtfs,,US,Oregon,Newport,Valley Retriever Busline,True,,,support+valleyretriever-or-us@trilliumtransit.com,,https://oregon-gtfs.trilliumtransit.com/gtfs_data/valleyretriever-or-us/valleyretriever-or-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-valley-retriever-busline-gtfs-633.zip?alt=media,,44.0579701022706,45.5280202718972,-124.0604784,-121.300789117813,2022-03-16T20:11:33+00:00,inactive,,,
634,gtfs,,US,Oregon,Eugene,Eugene to Coos Bay,True,,,support+eugenetocoosbay-or-us@trilliumtransit.com,,https://oregon-gtfs.trilliumtransit.com/gtfs_data/eugenetocoosbay-or-us/eugenetocoosbay-or-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-eugene-to-coos-bay-gtfs-634.zip?alt=media,,43.3690937400976,44.291248,-124.213689565659,-116.958099,2022-03-16T20:11:35+00:00,inactive,fares-v1,,
635,gtfs,,US,Oregon,Portland,HUT Airport Shuttle,,,,,,http://oregon-gtfs.com/gtfs_data/hut-or-us/hut-or-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-hut-airport-shuttle-gtfs-635.zip?alt=media,,,,,,2022-03-16T20:11:35+00:00,deprecated,,132,
